Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2024,12,,,PT Bank Perekonomian Rakyat Syariah Al Ihsan,Kab. Bandung,Provinsi Jawa Barat,620044,92724397992.0,52217593735.0,0.0,645274549.0,25240000.0,0.0,0.0,0.0,0.0,0.0,1174008336.0,29176573536.0,0.0,41413271382.0,0.0,634044726.0,2375135945.0,0.0,11750000000.0,0.0,243211615.0,0.0,5424133819.0,8623910259.0,5678790195.0,0.0,1343003289.0,23.36,3.55,4.74,1.7,85.86,74.92,40.23,23.36
2024,12,,,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Parahyangan,Kab. Bandung,Provinsi Jawa Barat,620054,1896593963209.0,826073214985.0,0.0,4337362874.0,47682344384.0,0.0,23738729950.0,679301305709.0,0.0,0.0,7359163864.0,99131238084.0,23037310881.0,1132739942574.0,0.0,19787124234.0,9086820397.0,0.0,83339030453.0,365775992762.0,0.0,0.0,112106819381.0,230102460834.0,107382606702.0,446700000.0,13095488058.0,17.07,3.57,4.11,0.92,92.8,92.79,21.48,17.07
2024,12,,,PT Bank Perekonomian Rakyat Syariah PNM Mentari,Kab. Garut,Provinsi Jawa Barat,620008,178810330821.0,105133180914.0,0.0,8216814026.0,17450911603.0,68822875.0,1790625000.0,16387467958.0,0.0,0.0,401246934.0,4615096384.0,16381440835.0,83279822356.0,0.0,1357799780.0,622738305.0,0.0,46463431132.0,4348189915.0,3252290152.0,0.0,16088405476.0,25648679107.0,15099571588.0,0.0,3393951195.0,22.8,3.25,3.75,2.42,85.68,142.94,12.68,22.8
2024,12,,,PT. BPRS Gotong Royong,Kota Sukabumi,Provinsi Jawa Barat,620172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,12,,,PT Bank Perekonomian Rakyat Syariah Harum Hikmahnugraha,Kab. Garut,Provinsi Jawa Barat,620029,120873801698.0,82390692152.0,0.0,6730204036.0,1344070000.0,40497005.0,0.0,2320999526.0,0.0,0.0,0.0,29259388407.0,1302146799.0,50031540000.0,0.0,1285540316.0,131174727.0,0.0,27901001228.0,0.0,541159789.0,0.0,10268176972.0,15392546156.0,7699841320.0,0.0,2117884223.0,25.87,5.16,6.33,2.4,83.31,88.95,11.54,25.87
2024,12,,,PT BPRS SHADIQ AMANAH,Kota Cimahi,Provinsi Jawa Barat,620019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,12,,,PT Bank Perekonomian Rakyat Syariah Baiturridha Pusaka,Kota Bandung,Provinsi Jawa Barat,620011,422310782792.0,39014932871.0,0.0,240655084485.0,18463600000.0,0.0,400000000.0,8921560097.0,0.0,0.0,0.0,16419562333.0,11236396726.0,226560365195.0,0.0,5675756699.0,7020643105.0,0.0,23300000000.0,87024745141.0,3827828477.0,0.0,58478353676.0,67882069788.0,37361572339.0,728384108.0,22129452466.0,20.7,0.05,1.22,9.13,61.89,120.7,30.91,20.7
2024,12,,,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Bandung,Kota Bandung,Provinsi Jawa Barat,620161,36848680761.0,23444350548.0,0.0,1701748715.0,2132500000.0,3750000.0,0.0,0.0,0.0,0.0,132000000.0,4346205236.0,2278684028.0,15492122531.0,0.0,586090400.0,772426864.0,0.0,6441654432.0,0.0,97098531.0,0.0,4036828073.0,5294943495.0,4217201655.0,0.0,400718672.0,43.63,9.21,10.95,0.67,92.26,123.85,16.25,43.63
2024,12,,,PT Bank Perekonomian Rakyat Syariah Baiturridha Pusaka,Kota Bogor,Provinsi Jawa Barat,620011,422310782792.0,39014932871.0,0.0,240655084485.0,18463600000.0,0.0,400000000.0,8921560097.0,0.0,0.0,0.0,16419562333.0,11236396726.0,226560365195.0,0.0,5675756699.0,7020643105.0,0.0,23300000000.0,87024745141.0,3827828477.0,0.0,58478353676.0,67882069788.0,37361572339.0,728384108.0,22129452466.0,20.7,0.05,1.22,9.13,61.89,120.7,30.91,20.7
2024,12,,,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Kota Bandung,Kota Bogor,Provinsi Jawa Barat,620161,36848680761.0,23444350548.0,0.0,1701748715.0,2132500000.0,3750000.0,0.0,0.0,0.0,0.0,132000000.0,4346205236.0,2278684028.0,15492122531.0,0.0,586090400.0,772426864.0,0.0,6441654432.0,0.0,97098531.0,0.0,4036828073.0,5294943495.0,4217201655.0,0.0,400718672.0,43.63,9.21,10.95,0.67,92.26,123.85,16.25,43.63
