Provinsi,Kabupaten/Kota,Nama Bank,Kode Bank
Provinsi Jawa Tengah,Kab. Pati,PT. BPRS Artha Mas Abadi,620100
Provinsi Jawa Tengah,Kab. Kudus,PT BPRS Saka Dana Mulia,620167
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Syariah Bina Amanah Satria,620087
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Jawa Tengah,620089
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Syariah Arta Leksana,620110
Provinsi Jawa Tengah,Kab. Banyumas,PT Bank Perekonomian Rakyat Syariah Gunung Slamet,620146
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Syariah Suriyah,620086
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Syariah Bumi Artha Sampang,620112
Provinsi Jawa Tengah,Kab. Cilacap,PT Bank Perekonomian Rakyat Syariah Bangun Arta,620195
Provinsi Jawa Tengah,Kab. Purbalingga,PT Bank Perekonomian Rakyat Syariah Buana Mitra Perwira,620083
Provinsi Jawa Tengah,Kab. Magelang,PT Bank Perekonomian Rakyat Syariah Meru Nusantara Mandiri,620143
Provinsi Jawa Tengah,Kab. Kebumen,PT. BPRS Ikhsanul Amal,620047
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Syariah Almabrur Klaten,620142
Provinsi Jawa Tengah,Kab. Klaten,PT Bank Perekonomian Rakyat Syariah Dharma Kuwera,620159
Provinsi Jawa Tengah,Kab. Sragen,PT Bank Perekonomian Rakyat Syariah Sukowati Sragen (Perseroda),620124
Provinsi Jawa Tengah,Kab. Sukoharjo,PT Bank Perekonomian Rakyat Syariah Insan Madani,620154
Provinsi Jawa Tengah,Kota Semarang,PT BPRS Artha Surya Barokah,620084
Provinsi Jawa Tengah,Kota Semarang,PT BPRS Bina Finansia,620102
Provinsi Jawa Tengah,Kota Semarang,PT. BPRS Mitra Harmoni Kota Semarang,620151
Provinsi Jawa Tengah,Kota Semarang,PT Bank Perekonomian Rakyat Syariah Kedung Arto,620191
Provinsi Jawa Tengah,Kota Tegal,PT Bank Perekonomian Rakyat Syariah Hikmah Bahari,620174
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Syariah Dana Mulia,620122
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Syariah Dana Amanah Surakarta,620125
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Syariah Central Syariah Utama,620137
Provinsi Jawa Tengah,Kota Surakarta/Solo,PT Bank Perekonomian Rakyat Syariah Hikmah Khazanah,620171
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Syariah Amanah Sejahtera,620050
Provinsi Jawa Timur,Kab. Gresik,PT Bank Perekonomian Rakyat Syariah Mandiri Mitra Sukses,620126
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Syariah Baktimakmur Indah,620022
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Syariah Annisa Mukti,620135
Provinsi Jawa Timur,Kab. Sidoarjo,PT Bank Perekonomian Rakyat Syariah Unawi Barokah,620155
Provinsi Jawa Timur,Kab. Jombang,PT Bank Perekonomian Rakyat Syariah Lantabur Tebuireng,620098
Provinsi Jawa Timur,Kab. Sampang,PT Bank Perekonomian Rakyat Syariah Sampang Perseroda,620166
Provinsi Jawa Timur,Kab. Pamekasan,PT Bank Perekonomian Rakyat Syariah Sarana Prima Mandiri,620127
Provinsi Jawa Timur,Kab. Sumenep,PT Bank Perekonomian Rakyat Syariah Bhakti Sumekar Perseroda,620085
Provinsi Jawa Timur,Kab. Jember,PT. BPRS Asri Madani Nusantara,620033
