Tahun,Bulan,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI,Latitude,Longitude
2010,12,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Bekasi,Kota Bekasi,Provinsi Jawa Barat,620015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.237084227639964,106.9866402479551
2010,12,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Mitra Cahaya Indonesia,Kab. Sleman,Provinsi D.I. Yogyakarta,620133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT BPRS Haji Miskin,Kab. Tanah Datar,Provinsi Sumatera Barat,620099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7957568848810034,100.72783265816751
2010,12,PT Bank Perekonomian Rakyat Syariah Baiturrahman,Kab. Aceh Besar,Provinsi NAD,620024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT BPRS Berkah Amal Salman,Kota Bandung,Provinsi Jawa Barat,620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.918139601318028,107.60647461822626
2010,12,PT BPRS Berkah Amal Salman,Kota Bandung,Provinsi Jawa Barat,620001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.600064385549815,106.7999819599572
2010,12,PT BPRS Magetan (Perseroda),Kab. Magetan,Provinsi Jawa Timur,620165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Yogyakarta,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.803051873506947,110.36402782968446
2010,12,PT Bank Perekonomian Rakyat Syariah Gaido Indonesia,Kab. Cianjur,Provinsi Jawa Barat,620043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.563150818639635,106.73146469181188
2010,12,PT Bank Perekonomian Rakyat Syariah Situbondo,Kab. Situbondo,Provinsi Jawa Timur,620081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.702911353591342,113.9806037668517
2010,12,PT. BPRS Gotong Royong,Kab. Subang,Provinsi Jawa Barat,620172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.553534544317955,107.7543397767086
2010,12,PT. BPRS Gotong Royong,Kab. Subang,Provinsi Jawa Barat,620172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.916774443100237,106.9293590384548
2010,12,PT Bank Perekonomian Rakyat Syariah Fadhilah Kota Bengkulu (Perseroda),Kota Bengkulu,Provinsi Bengkulu,620184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.798786993847248,102.26066774117557
2010,12,PT Bank Perekonomian Rakyat Syariah Bobato Lestari,Kota Tidore Kepulauan,Provinsi Maluku Utara,620179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6690346107462076,127.44399032218512
2010,12,PT BPRS Bumi Rinjani Probolinggo,Kab. Probolinggo,Provinsi Jawa Timur,620105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT. BPRS Mitra Harmoni Kota Semarang,Kota Semarang,Provinsi Jawa Tengah,620151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.989034701457653,110.42390375172975
2010,12,PT Bank Perekonomian Rakyat Syariah Daya Artha Mentari,Kab. Pasuruan,Provinsi Jawa Timur,620056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.654596803987085,112.9133678475593
2010,12,PT. BPRS Jabal Tsur,Kab. Pasuruan,Provinsi Jawa Timur,620103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.642622137527749,112.90214649056595
2010,12,PT Bank Perekonomian Rakyat Syariah Muamalat Harkat,Kab. Seluma,Provinsi Bengkulu,620052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Amanah Ummah,Kab. Bogor,Provinsi Jawa Barat,620004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.547796294132246,107.00834446079764
2010,12,PT Bank Perekonomian Rakyat Syariah Hikmah Bahari,Kota Tegal,Provinsi Jawa Tengah,620174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.861973262113324,109.13573876794256
2010,12,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Fajar Nitro,Kota Makassar,Provinsi Sulawesi Selatan,620168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.128522770098106,119.41038261376706
2010,12,PT Bank Perekonomian Rakyat Syariah Dana Amanah Surakarta,Kota Surakarta/Solo,Provinsi Jawa Tengah,620125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.582281788876442,110.82735174142871
2010,12,PT. BPRS Ummu,Kab. Pasuruan,Provinsi Jawa Timur,620074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.65021334152576,112.89863930816225
2010,12,PT Bank Perekonomian Rakyat Syariah Rahma Syariah,Kab. Kediri,Provinsi Jawa Timur,620150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.821654764489613,112.02781200727956
2010,12,PT Bank Perekonomian Rakyat Syariah Tanmiya Artha,Kota Kediri,Provinsi Jawa Timur,620130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.804361795474596,112.00698794188358
2010,12,PT Bank Perekonomian Rakyat Syariah Investama Mega Bakti,Kota Makassar,Provinsi Sulawesi Selatan,620077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.131381407363007,119.4094893372462
2010,12,PT BANK PEREKONOMIAN RAKYAT SYARIAH NIAGA MADANI,Kota Makassar,Provinsi Sulawesi Selatan,620039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.127789499318414,119.412410921333
2010,12,PT Bank Perekonomian Rakyat Syariah PNM Mentari,Kab. Garut,Provinsi Jawa Barat,620008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.195611181584734,107.90948097277126
2010,12,PT Bank Perekonomian Rakyat Syariah Maslahat Dana Syariah Nusantara,Kota Bengkulu,Provinsi Bengkulu,620181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.791547736340278,102.2560829253008
2010,12,PT Bank Perekonomian Rakyat Syariah Artha Pamenang,Kab. Kediri,Provinsi Jawa Timur,620147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.81422235884534,112.0257736866079
2010,12,PT. BPRS Hareukat,Kab. Aceh Besar,Provinsi NAD,620003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Harum Hikmahnugraha,Kab. Garut,Provinsi Jawa Barat,620029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.201021164642222,107.90284024114014
2010,12,PT BPRS Al Hidayah,Kab. Pasuruan,Provinsi Jawa Timur,620072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.64945314625638,112.90608207619024
2010,12,PT Bank Perekonomian Rakyat Syariah Dana Mulia,Kota Surakarta/Solo,Provinsi Jawa Tengah,620122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5721076896369475,110.81636511954429
2010,12,PT. BPRS Muamalat Yotefa,Kab. Jayapura,Provinsi Papua,620067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.550807165553799,140.48835142200244
2010,12,PT Bank Perekonomian Rakyat Syariah Fajar Sejahtera Bali,Kab. Badung,Provinsi Bali,620026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.645170567141806,115.27693679878858
2010,12,PT Bank Perekonomian Rakyat Syariah Lantabur Tebuireng,Kab. Jombang,Provinsi Jawa Timur,620098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.593963133811971,112.26493196168056
2010,12,PT BPRS Bogor Tegar Beriman,Kab. Bogor,Provinsi Jawa Barat,620177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.552632627212006,107.00079770326322
2010,12,PT Bank Perekonomian Rakyat Syariah Mitra Mentari Sejahtera,Kab. Ponorogo,Provinsi Jawa Timur,620180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,PT Bank Perekonomian Rakyat Syariah Arsa Sejahtera,Kota Batu,Provinsi Jawa Timur,620079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.8807671610865775,112.532451265561
2010,12,PT Bank Perekonomian Rakyat Syariah Amanah Rabbaniah,Kab. Bandung,Provinsi Jawa Barat,620002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.981512329239818,107.54983972422548
