Kode_Bank,Nama_BPR,Provinsi,Kabupaten_Kota,Latitude,Longitude,NPL_Neto,ROA,BOPO,LDR,KPMM,Cash_Ratio,delta_npl_net_1y,delta_roa_1y,delta_bopo_1y,delta_kpmm_1y,peer_city_npl_net_mean,peer_city_roa_mean,peer_city_bopo_mean,spatial_npl_net_mean,spatial_roa_mean,spatial_bopo_mean,predicted_deterioration_probability,risk_band,top_risk_drivers,data_quality_flag,data_quality_reason,shared_coordinate_flag
601834,PT Bank Perekonomian Rakyat Suar Artha Dharma,Provinsi Bali,Kab. Badung,-8.6961668,115.1733172,6.03,6.06,63.71,67.45,32.92,15.15,1.6500000000000004,35.5,-58.309999999999995,11.990000000000002,6.644347826086958,1.6217391304347826,87.55869565217391,9.53,2.045,85.395,0.7073378793060808,High Risk,three-year BOPO trend (+0.091); operating efficiency pressure (+0.077); loan growth (+0.058),False,,0
600049,PT Bank Perekonomian Rakyat Gerbang Masa Depan,Provinsi Sulawesi Selatan,Kab. Takalar,-5.2779401,119.2385226,14.5,8.77,89.5,62.9,175.23,61.4,4.779999999999999,4.26,22.700000000000003,58.54999999999998,,,,3.3485714285714288,-1.2814285714285716,119.37857142857142,0.696891836781414,High Risk,capital adequacy level (+0.059); loan growth (+0.050); ROA versus bank history (+0.039),False,,0
600763,PT Bank Perekonomian Rakyat Danamas,Provinsi Jawa Timur,Kota Surabaya,-7.3020189,112.70794,5.45,16.76,134.48,59.33,56.1,29.13,4.42,16.51,37.36999999999999,27.450000000000003,9.305000000000001,0.008749999999999813,107.84625,6.62875,2.52,85.78375,0.6925503053680788,High Risk,ROA versus bank history (+0.168); loan growth (+0.108); one-year ROA movement (+0.084),False,,0
601667,PT Bank Perekonomian Rakyat Mojoagung Pahalapakto,Provinsi Jawa Timur,Kab. Jombang,-7.5678435,112.3309077,21.91,6.65,61.34,1158.01,200.52,877.29,8.03,-0.2699999999999996,-0.8299999999999983,20.120000000000005,9.098333333333334,5.101666666666667,80.88166666666666,11.445,5.486666666666667,79.76666666666667,0.6887134609470218,High Risk,loan growth (+0.179); one-year KPMM movement (+0.022); operating efficiency pressure (+0.020),True,LDR outside audit range; Cash_Ratio outside audit range,0
601780,PT Bank Perekonomian Rakyat Sukorejo Makmur,Provinsi Jawa Timur,Kab. Pasuruan,-7.7019245,112.6365973,26.3,58.84,86.66,412.93,137.05,47.79,4.0,-3.1299999999999955,9.189999999999998,8.810000000000002,15.076363636363634,2.584545454545454,87.95727272727274,15.533333333333331,2.3016666666666663,88.96666666666665,0.6837206305310237,High Risk,ROA versus bank history (+0.121); high NPL net (+0.046); three-year NPL net trend (+0.028),True,ROA outside audit range,0
600094,PT Bank Perekonomian Rakyat Dana Rajabally,Provinsi Jawa Timur,Kota Surabaya,-7.3166076,112.7322286,0.0,9.03,64.86,0.0,491.34,100.0,-3.85,-16.189999999999998,-2.6400000000000006,343.04999999999995,9.645625,0.49187499999999995,112.1975,14.56875,2.3437500000000004,109.3425,0.6820605530099679,High Risk,loan growth (+0.068); capital adequacy level (+0.065); loan scale (+0.055),False,,0
602753,PT Bank Perekonomian Rakyat Lestari Nusantara Indonesia,Provinsi Jawa Timur,Kab. Gresik,-7.4224593,108.3352868,31.27,10.93,73.46,294.19,152.17,37.42,-5.949999999999999,10.19,-29.460000000000008,10.079999999999984,14.774444444444445,1.3933333333333333,92.94999999999999,3.746,1.138,89.464,0.6819903967019402,High Risk,capital adequacy level (+0.083); one-year ROA movement (+0.067); ROA versus bank history (+0.053),False,,0
601135,PT Bank Perekonomian Rakyat Bumi Hayu,Provinsi Jawa Timur,Kab. Jember,-8.1535471,112.5595382,7.61,9.6,51.8,469.13,191.82,161.64,4.26,4.26,-17.78,80.80999999999999,12.03125,4.024375,80.4725,16.51,14.768333333333333,90.66666666666667,0.6816126263831991,High Risk,ROA versus bank history (+0.088); one-year ROA movement (+0.051); three-year BOPO trend (+0.049),False,,0
600971,PT Bank Perekonomian Rakyat Karunia Pakto,Provinsi Jawa Timur,Kab. Jember,-7.3131312,107.6590769,33.24,3.9,74.38,426.08,142.43,63.12,18.560000000000002,-0.36999999999999966,-0.6400000000000006,37.42,10.429375,4.380624999999999,79.06125,3.4880000000000004,2.694,86.34,0.6783003495829121,High Risk,high NPL net (+0.069); one-year KPMM movement (+0.031); provision coverage (+0.028),False,,0
601390,PT Bank Perekonomian Rakyat Kartadhani Mulya,Provinsi Jawa Tengah,Kab. Sukoharjo,-7.5670432,110.7758136,25.44,6.19,99.19,120.63,21.79,9.02,11.3,6.54,-2.980000000000004,1.4199999999999982,15.696153846153846,1.0715384615384616,94.69076923076923,17.481666666666666,-0.22499999999999995,101.10166666666667,0.6771632807509967,High Risk,high NPL net (+0.125); one-year NPL net movement (+0.067); ROA versus bank history (+0.054),False,,0
