feature_set,model,roc_auc,pr_auc,ks,brier,recall_at_20pct,precision_at_20pct,lift_at_20pct
financial_trend,hist_gbm,0.658614522115148,0.4523701802722474,0.2516403605825427,0.1999240686366435,0.3212051532715787,0.4684267384564083,1.6030877038695563
financial_trend_peer,hist_gbm,0.6601352504413144,0.4488799720201084,0.2545721045133186,0.20120348675002084,0.3217021229167582,0.4685568125874925,1.6055154456527831
financial_trend_peer_spatial,hist_gbm,0.6541219530826018,0.44700710689935497,0.2364556782803951,0.2025861082205548,0.32226025433494965,0.4711137811819587,1.6083264698920587
financial_trend,logistic,0.6487464991659749,0.4412252877163577,0.24042927351245535,0.20148319676365056,0.3295672920257761,0.4777081699195202,1.6447935288615803
financial,hist_gbm,0.6444244251911104,0.4370244853611811,0.2226982528406985,0.2021200324886941,0.3199251323720187,0.46543850748825183,1.5966596689219545
financial_trend_peer_spatial,logistic,0.6487318000037422,0.4360750132636079,0.23834021644000716,0.2028771150886385,0.3253099355922437,0.4724735808209074,1.6235430102321344
financial_trend_peer,logistic,0.6492571525566417,0.4359449841039381,0.23943095258291733,0.20286373105830577,0.3255125594717815,0.4731231980452358,1.6245448572999046
financial,logistic,0.6453125735875942,0.4348660313235646,0.22526417318364939,0.20124104740223783,0.3231599423878561,0.4703837494305268,1.612821750925675
