roc_auc,pr_auc,ks,brier,recall_at_20pct,precision_at_20pct,lift_at_20pct,event_rate,calibration_intercept,calibration_slope,validation_target_year,feature_set,model,n_train,n_validation
0.6495392184035477,0.408126440301202,0.22982954545454543,0.18385645977254508,0.334375,0.43673469387755104,1.667780612244898,0.2618657937806874,-0.09152636080311813,0.7407979467096616,2019,financial,logistic,3554,1222
0.6209984756097561,0.39637414299211504,0.21074002217294902,0.19118688542196927,0.325,0.42448979591836733,1.621020408163265,0.2618657937806874,-0.4261421875831582,0.40151036649276706,2019,financial,hist_gbm,3554,1222
0.6516768292682926,0.4133386766687266,0.2505820399113082,0.18426037695796976,0.3375,0.44081632653061226,1.6833673469387753,0.2618657937806874,-0.21777375700806675,0.6323018405405186,2019,financial_trend,logistic,3554,1222
0.6234825388026608,0.4081589798442472,0.21045593126385814,0.1922226714318041,0.3,0.39183673469387753,1.4963265306122446,0.2618657937806874,-0.3711364188724245,0.43208977703549384,2019,financial_trend,hist_gbm,3554,1222
0.6537901884700665,0.4209642254695142,0.24150498891352545,0.18317826518204194,0.346875,0.4530612244897959,1.730127551020408,0.2618657937806874,-0.20964159853733352,0.6384692525102319,2019,financial_trend_peer,logistic,3554,1222
0.6371604767184035,0.4185303224231878,0.23525498891352548,0.18870678797677815,0.33125,0.4326530612244898,1.6521938775510203,0.2618657937806874,-0.3027625636839971,0.4812862354063824,2019,financial_trend_peer,hist_gbm,3554,1222
0.6552245011086474,0.4179830517661696,0.24704129711751666,0.1835094536945095,0.35,0.45714285714285713,1.7457142857142856,0.2618657937806874,-0.21371330865513696,0.6302775309295624,2019,financial_trend_peer_spatial,logistic,3554,1222
0.6230148281596453,0.40130402340565074,0.2032081485587583,0.1921229852708781,0.315625,0.4122448979591837,1.5742602040816325,0.2618657937806874,-0.3576698233427616,0.43822380726263943,2019,financial_trend_peer_spatial,hist_gbm,3554,1222
0.6515466468695867,0.5336321080880856,0.23789998667504236,0.25084994462695687,0.29572649572649573,0.5824915824915825,1.4766410544188322,0.3944706675657451,0.06788794180253871,0.3876216457405856,2020,financial,logistic,4776,1483
0.6319589591304513,0.5180242472327385,0.22114670778367884,0.2526381023589599,0.28376068376068375,0.5589225589225589,1.416892572448128,0.3944706675657451,0.24213293845404743,0.5275084415186122,2020,financial,hist_gbm,4776,1483
0.646039632231169,0.5221231046062594,0.24490130013515315,0.25361709349889083,0.28547008547008546,0.5622895622895623,1.4254280698725144,0.3944706675657451,-0.03673648222936139,0.3079937450301296,2020,financial_trend,logistic,4776,1483
0.66653341709021,0.5492405630109369,0.2844231245122114,0.24650314512813218,0.29914529914529914,0.5892255892255892,1.4937120492676048,0.3944706675657451,0.44202948178278195,0.6683675609424407,2020,financial_trend,hist_gbm,4776,1483
0.6464527059181847,0.5258418865887482,0.23223307254487657,0.253865435453258,0.2905982905982906,0.5723905723905723,1.451034562145673,0.3944706675657451,-0.002844359595050851,0.3246032195437411,2020,financial_trend_peer,logistic,4776,1483
0.6699160527668322,0.541843334526318,0.28711857308739264,0.24799666016284042,0.28717948717948716,0.5656565656565656,1.4339635672969007,0.3944706675657451,0.470468043449686,0.6813622024962095,2020,financial_trend_peer,hist_gbm,4776,1483
0.6450231283193422,0.5257131152940575,0.23529019854186894,0.2532770857572056,0.2923076923076923,0.5757575757575758,1.4595700595700596,0.3944706675657451,-0.0122957508531467,0.32096875715993334,2020,financial_trend_peer_spatial,logistic,4776,1483
0.6675156568252337,0.5466389226343837,0.2734509736736908,0.24775061886369096,0.30256410256410254,0.5959595959595959,1.5107830441163772,0.3944706675657451,0.47866343328277783,0.6905746753850698,2020,financial_trend_peer_spatial,hist_gbm,4776,1483
0.669540166204986,0.4297716023440539,0.2515087719298246,0.17749818946066165,0.368,0.4726027397260274,1.8374794520547946,0.257201646090535,-0.3659315548008139,0.7392128846723902,2021,financial,logistic,6259,1458
0.6748784241305017,0.4433538079079735,0.251848568790397,0.1773747176376284,0.36533333333333334,0.4691780821917808,1.824164383561644,0.257201646090535,-0.3224582178178609,0.8323040869149491,2021,financial,hist_gbm,6259,1458
0.6649085872576177,0.43360561004698495,0.2530600184672207,0.17874086378089202,0.37333333333333335,0.4794520547945205,1.864109589041096,0.257201646090535,-0.5097822319512317,0.5837316664089062,2021,financial_trend,logistic,6259,1458
0.6799187442289936,0.42935965088193784,0.27782825484764545,0.1778412104290198,0.3626666666666667,0.4657534246575342,1.810849315068493,0.257201646090535,-0.35100366559207236,0.8143718554372054,2021,financial_trend,hist_gbm,6259,1458
0.6700670975684825,0.41659249848889657,0.2751468144044321,0.18448825634749996,0.36,0.4623287671232877,1.7975342465753426,0.257201646090535,-0.6943113711712074,0.4616792442995209,2021,financial_trend_peer,logistic,6259,1458
0.6840209295167743,0.4245386622353269,0.28348661126500463,0.1829785371608568,0.34933333333333333,0.4486301369863014,1.7442739726027399,0.257201646090535,-0.5273517820389867,0.7883826391542158,2021,financial_trend_peer,hist_gbm,6259,1458
0.6638916589719914,0.4139966193434952,0.2633868882733149,0.18584400609692484,0.3546666666666667,0.4554794520547945,1.770904109589041,0.257201646090535,-0.7307453216664689,0.42393888691765863,2021,financial_trend_peer_spatial,logistic,6259,1458
0.6785472453062481,0.4176788902638903,0.27066297322253,0.1866863101294542,0.36533333333333334,0.4691780821917808,1.824164383561644,0.257201646090535,-0.5934848805956628,0.735504743963604,2021,financial_trend_peer_spatial,hist_gbm,6259,1458
0.6627686772085977,0.41037615297403607,0.25949247230375916,0.1746688322313146,0.3502824858757062,0.43356643356643354,1.7489629015052743,0.24789915966386555,-0.4998885137709155,0.574112968925198,2022,financial,logistic,7717,1428
0.6801807488768951,0.4075915274665263,0.2512230533724711,0.17285173321950453,0.3446327683615819,0.42657342657342656,1.7207538224487375,0.24789915966386555,-0.19500336669850632,0.8808040464116763,2022,financial,hist_gbm,7717,1428
0.6770810318888153,0.438042040462409,0.28712558785468545,0.17153412946330773,0.3728813559322034,0.46153846153846156,1.861799217731421,0.24789915966386555,-0.5214600730552853,0.5428392506369417,2022,financial_trend,logistic,7717,1428
0.6967274774063904,0.44207361717074833,0.28529495312943853,0.16891522133646156,0.3700564971751412,0.458041958041958,1.8476946782031527,0.24789915966386555,-0.15018823505888879,0.9297194480039276,2022,financial_trend,hist_gbm,7717,1428
0.6734934086629002,0.4186932917195516,0.28310134772590984,0.17338376415510942,0.3559322033898305,0.4405594405594406,1.7771719805618111,0.24789915966386555,-0.5833751964931853,0.4961161475530131,2022,financial_trend_peer,logistic,7717,1428
0.6861329419562542,0.43184487559042994,0.2599974749865859,0.17170967072354057,0.3531073446327684,0.4370629370629371,1.7630674410335427,0.24789915966386555,-0.26931374684426057,0.8712883463168701,2022,financial_trend_peer,hist_gbm,7717,1428
0.6734907784405938,0.42359641336091863,0.27437427011331,0.17296483816337346,0.3644067796610169,0.45104895104895104,1.8194855991466161,0.24789915966386555,-0.58445330838462,0.5069011579047373,2022,financial_trend_peer_spatial,logistic,7717,1428
0.682050836936738,0.43841284619296333,0.25041820534671594,0.1717299859718769,0.3446327683615819,0.42657342657342656,1.7207538224487375,0.24789915966386555,-0.26848132142212533,0.8842956445617449,2022,financial_trend_peer_spatial,hist_gbm,7717,1428
0.593168159251253,0.3924238529104456,0.14759008955507524,0.2193318109197109,0.26741573033707866,0.4265232974910394,1.333244734404575,0.3199137311286844,-0.4049472400890918,0.3250140423828851,2023,financial,logistic,9145,1391
0.6141055182079482,0.41977870120655225,0.17853291208399646,0.21654872380540827,0.2808988764044944,0.44802867383512546,1.400467157987999,0.3199137311286844,-0.16778296303656554,0.5333560032425995,2023,financial,hist_gbm,9145,1391
0.6040264151839798,0.3990170067974086,0.16647742119390924,0.21926352011719252,0.2786516853932584,0.4444444444444444,1.3892634207240948,0.3199137311286844,-0.5248626672527138,0.2139975501406034,2023,financial_trend,logistic,9145,1391
0.6264104330474856,0.43301809045336687,0.20019953915956,0.21413809485779983,0.27415730337078653,0.43727598566308246,1.366855946196287,0.3199137311286844,-0.17806255024234932,0.5597827087863402,2023,financial_trend,hist_gbm,9145,1391
0.6024823621635745,0.3976330182529799,0.16516853932584274,0.21940293415361947,0.27415730337078653,0.43727598566308246,1.366855946196287,0.3199137311286844,-0.5072180768209131,0.22833295759428035,2023,financial_trend_peer,logistic,9145,1391
