Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2019,12,,,PT Bank Perekonomian Rakyat Syariah Cahaya Hidup,Kab. Sleman,Provinsi D.I. Yogyakarta,620163,33308400.0,23936603.0,0.0,543090.0,0.0,0.0,0.0,402937.0,0.0,0.0,0.0,2276507.0,1059611.0,16263646.0,86426.0,588576.0,215745.0,0.0,9245587.0,0.0,156283.0,0.0,2336948.0,4424097.0,1987617.0,16275.0,534690.0,16.27,12.41,,1.82,85.05,86.26,28.36,16.27
2019,12,,,PT Bank Perekonomian Rakyat Syariah Danagung Syariah,Kab. Sleman,Provinsi D.I. Yogyakarta,620128,49838855.0,14474659.0,0.0,10844805.0,14112.0,0.0,0.0,3045795.0,0.0,0.0,0.0,2409111.0,176939.0,17861750.0,156663.0,64816.0,56893.0,0.0,22193945.0,0.0,720665.0,0.0,2784473.0,5854180.0,3316374.0,0.0,291259.0,,24.62,,0.69,105.98,143.57,8.0,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Formes Sleman,Kab. Sleman,Provinsi D.I. Yogyakarta,620136,43715271.0,24128696.0,0.0,1284638.0,520000.0,0.0,1884986.0,742938.0,0.0,0.0,1112453.0,6187301.0,0.0,0.0,172378.0,604706.0,225955.0,0.0,10758722.0,0.0,123068.0,19536942.0,2598289.0,3686701.0,2980336.0,0.0,43410.0,67.32,3.45,,50.21,116.73,110.52,41.88,67.32
2019,12,,,PT Bank Perekonomian Rakyat Syariah Harta Insan Karimah Mitra Cahaya Indonesia,Kab. Sleman,Provinsi D.I. Yogyakarta,620133,159142538.0,63114289.0,0.0,2383855.0,0.0,0.0,271705.0,6505634.0,0.0,0.0,1200173.0,8728766.0,5957586.0,94739792.0,768204.0,745691.0,398826.0,0.0,0.0,26527778.0,819663.0,0.0,10268923.0,18918917.0,7176036.0,0.0,3330410.0,29.34,3.21,,4.04,63.67,70.0,122.5,29.34
2019,12,,,PT Bank Perekonomian Rakyat Syariah Mitra Amal Mulia,Kab. Sleman,Provinsi D.I. Yogyakarta,620117,56493905.0,38470072.0,0.0,1414864.0,142234.0,0.0,151085.0,241040.0,0.0,0.0,0.0,3167485.0,1515324.0,28920000.0,156857.0,569244.0,28193.0,0.0,2589925.0,2388879.0,828128.0,10022507.0,4704231.0,8267475.0,4329238.0,11935.0,473879.0,15.68,6.68,,0.64,91.22,90.28,21.73,15.68
2019,12,,,PT Bank Perekonomian Rakyat Syariah Sleman (Perseroda),Kab. Sleman,Provinsi D.I. Yogyakarta,620193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,12,,,PT Bank Perekonomian Rakyat Syariah Barokah Dana Sejahtera,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620115,136115888.0,38162439.0,192482.0,3353848.0,193207.0,14827.0,62562.0,49697653.0,0.0,0.0,2791700.0,25355638.0,19179405.0,64839015.0,472810.0,1059508.0,511061.0,0.0,8071355.0,3749656.0,309714.0,0.0,9758280.0,16314597.0,7353322.0,0.0,2690147.0,0.21,0.04,,0.03,0.72,0.84,0.24,0.21
2019,12,,,PT Bank Perekonomian Rakyat Syariah Dana Hidayatullah,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620107,26006558.0,8778206.0,0.0,119049.0,100700.0,0.0,80515.0,9140554.0,0.0,0.0,0.0,1261908.0,5750964.0,8970500.0,78838.0,212214.0,67718.0,0.0,0.0,0.0,65902.0,2180542.0,2886512.0,4016091.0,2480510.0,0.0,1086811.0,42.02,8.2,,4.05,69.07,73.91,27.62,42.02
2019,12,,,PT Bank Perekonomian Rakyat Syariah Mitra Harmoni Yogyakarta,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620149,72656091.0,52789559.0,0.0,548256.0,0.0,0.0,6041700.0,0.0,0.0,0.0,0.0,4593374.0,10447660.0,34132380.0,225516.0,220353.0,219936.0,0.0,14205385.0,0.0,412265.0,0.0,5291390.0,10839360.0,5574381.0,0.0,961962.0,15.69,8.5,,1.66,90.48,94.33,60.53,15.69
2019,12,,,PT Bank Perekonomian Rakyat Syariah Unisia Insan Indonesia,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620178,69054149.0,29986162.0,4573.0,227779.0,0.0,0.0,8738817.0,2379211.0,0.0,0.0,0.0,10257711.0,7924918.0,34143250.0,339277.0,0.0,217367.0,0.0,6500000.0,0.0,348225.0,0.0,4071756.0,6688070.0,3625422.0,0.0,751400.0,21.29,,,1.64,90.82,79.02,30.92,21.29
