Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,Piutang_Murabahah,Piutang_Istishna,Piutang_Multijasa,Piutang_Qardh,Piutang_Sewa,Pembiayaan_Mudharabah,Pembiayaan_Musyarakah,Pembiayaan_Lainnya,Salam,Agunan_yang_Diambil_Alih,Tabungan_Wadiah,Tabungan_Mudharabah,Deposito_Mudharabah,Cadangan_Kerugian_Penurunan_Nilai_1,Cadangan_Kerugian_Penurunan_Nilai_2,Liabilitas_Segera,Liabilitas_kepada_BI,Liabilitas_kepada_Bank_Lain,Pembiayaan_Diterima,Liabilitas_Lainnya,Dana_Syirkah_Temporer,Pendapatan_setelah_distribusi_bagi_hasil,Pendapatan_dari_penyaluran_dana,Beban_Operasional,Zakat,Laba_Rugi_Bersih,KPMM,NPF_Neto,NPF_Gross,ROA,BOPO,FDR,Cash_Ratio,NI
2010,12,,,PT Bank Perekonomian Rakyat Syariah Lampung Timur (Perseroda),Kab. Lampung Timur,Provinsi Lampung,620140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Barokah Dana Sejahtera,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Tanggamus (Perseroda),Kab. Tanggamus,Provinsi Lampung,620082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Dana Hidayatullah,Kota Yogyakarta,Provinsi D.I. Yogyakarta,620107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Alsalaam Amal Salman,Kota Depok,Provinsi Jawa Barat,620101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BANK PEREKONOMIAN RAKYAT SYARIAH MASYARAKAT LINTAU BUO,Kab. Agam,Provinsi Sumatera Barat,620196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Khatulistiwa,Kab. Pasaman,Provinsi Sumatera Barat,620201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Sleman (Perseroda),Kab. Sleman,Provinsi D.I. Yogyakarta,620193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Syariah Cahaya Hidup,Kab. Sleman,Provinsi D.I. Yogyakarta,620163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT BPRS Taeh Baruah,Kab. Limapuluh Koto,Provinsi Sumatera Barat,620190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
