Tahun,Bulan,Longitude,Latitude,Nama_BPR,Kabupaten_Kota,Provinsi,Kode_Bank,Total_Aset,a. Kepada BPR,b. Kepada Bank Umum,c. Kepada non bank – pihak terkait,d. Kepada non bank – pihak tidak terkait,Cadangan_Kerugian_Penurunan_Nilai,Jumlah_Kredit,Tabungan,Deposito,Total_Liabilitas,Laba_tahun_berjalan,Total_Ekuitas,Agunan_yang_Diambil_Alih,Jumlah_Pendapatan_Bunga,Jumlah_Pendapatan_Operasional,Jumlah_Beban_Operasional,Laba_Rugi_Operasional,NPL_Gross,NPL_Neto,ROA,BOPO,NIM,LDR,KPMM,Cash_Ratio
2010,12,,,PT Bank Perekonomian Rakyat Darbeni Rizki,Kota Tangerang,Provinsi Banten,600316,16131373.0,102548.0,3414282.0,0.0,11836341.0,186526.0,15353171.0,0.0,0.0,0.0,1236462.0,8586462.0,0.0,4297690.0,4739987.0,3327451.0,1413099.0,,,,,,,,
2010,12,,,PT BPRS Jam Gadang Perseroda,Kota Bukittinggi,Provinsi Sumatera Barat,602538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2010,12,,,PT. BPR Rangkiang Denai,Kota Payakumbuh,Provinsi Sumatera Barat,601157,22518552.0,22574.0,5638502.0,3320.0,15562311.0,221339.0,21226707.0,0.0,0.0,0.0,416648.0,1666648.0,0.0,4573735.0,4779106.0,4182733.0,476169.0,,,,,,,,
2010,12,,,PT BPR Surya Prima Persada,Kab. Tangerang,Provinsi Banten,602063,1216421.0,0.0,371343.0,0.0,612401.0,45266.0,983744.0,0.0,0.0,0.0,-146802.0,3054468.0,0.0,332202.0,375964.0,522766.0,-146802.0,,,,,,,,
2010,12,,,PT BPR Budisetia,Kota Padang,Provinsi Sumatera Barat,602545,6547755.0,1485.0,260728.0,165284.0,6914197.0,1312354.0,7341694.0,0.0,0.0,0.0,-1775314.0,5229682.0,0.0,1409245.0,1563827.0,3332537.0,-1774315.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Prima Mulia Anugrah,Kota Solok,Provinsi Sumatera Barat,601193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2010,12,,,PT BPR EDCCASH,Kab. Tangerang,Provinsi Banten,600266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2010,12,,,PT BPR Solok Sakato,Kota Solok,Provinsi Sumatera Barat,601185,9993545.0,623059.0,1909369.0,185022.0,6879847.0,63552.0,9597297.0,0.0,0.0,0.0,545484.0,3735484.0,0.0,1943981.0,2137678.0,1541938.0,623410.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Kuta Bumi Sidomukti,Kab. Tangerang,Provinsi Banten,600414,4475756.0,0.0,491572.0,28653.0,3488602.0,36096.0,4008827.0,0.0,0.0,0.0,465220.0,2465220.0,0.0,1095912.0,1277724.0,752959.0,531680.0,,,,,,,,
2010,12,,,PT. BPR Surya Katialo,Kota Solok,Provinsi Sumatera Barat,601180,3556054.0,121921.0,335603.0,46221.0,2732300.0,32178.0,3236045.0,0.0,0.0,0.0,81860.0,455982.0,0.0,767514.0,888968.0,790874.0,81860.0,,,,,,,,
2010,12,,,PT. BPR Fidusia Civitas,Kab. Tangerang,Provinsi Banten,601259,5931770.0,430005.0,2716048.0,46030.0,2555100.0,173957.0,5747183.0,0.0,0.0,0.0,-562388.0,6740227.0,0.0,598441.0,698044.0,1206655.0,-562388.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Baringin Padang Panjang Sakato,Kota Padang Panjang,Provinsi Sumatera Barat,601213,6572801.0,200000.0,666912.0,75713.0,5102472.0,54779.0,6045097.0,0.0,0.0,0.0,273489.0,1391739.0,0.0,1050101.0,1182400.0,872340.0,312559.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Dassa,Kab. Tangerang,Provinsi Banten,601261,6389897.0,125491.0,466496.0,1351461.0,4588117.0,1370420.0,6531565.0,0.0,0.0,0.0,-309984.0,2764121.0,0.0,809169.0,984110.0,1290978.0,-309984.0,,,,,,,,
2010,12,,,BPR LPN Kampung Manggis,Kota Padang Panjang,Provinsi Sumatera Barat,601212,2237975.0,100000.0,811002.0,0.0,1109424.0,20744.0,2020426.0,0.0,0.0,0.0,-314381.0,1321144.0,0.0,114623.0,120146.0,437330.0,-314381.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Karya Prima Sentosa,Kab. Tangerang,Provinsi Banten,602049,1621576.0,0.0,305475.0,24733.0,1338881.0,374570.0,1669089.0,0.0,0.0,0.0,-62882.0,1514504.0,0.0,457244.0,512247.0,573977.0,-62882.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Cahaya Arthasejati,Kab. Tangerang,Provinsi Banten,601265,1642188.0,0.0,609553.0,0.0,335391.0,10543.0,944944.0,0.0,0.0,0.0,-51133.0,2223110.0,0.0,166207.0,225696.0,276479.0,-51133.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Vinski Mukti Arta,Kab. Tangerang,Provinsi Banten,601295,6638998.0,7567.0,1203000.0,126664.0,4906501.0,114232.0,6243732.0,0.0,0.0,0.0,-519662.0,1913229.0,0.0,844458.0,914347.0,1443154.0,-519662.0,,,,,,,,
2010,12,,,PT BPR Kota Arang Sejahtera,Kota Sawahlunto,Provinsi Sumatera Barat,601162,2931135.0,146810.0,332363.0,63039.0,2345384.0,152748.0,2887596.0,0.0,0.0,0.0,-291282.0,408718.0,0.0,568127.0,675892.0,976764.0,-291282.0,,,,,,,,
2010,12,,,PT. BPR Cita Makmur Lestari,Kab. Tangerang,Provinsi Banten,601304,18223696.0,1013892.0,2858632.0,0.0,13632136.0,341080.0,17504660.0,0.0,0.0,0.0,215610.0,2715610.0,0.0,3216678.0,3611577.0,3330706.0,252648.0,,,,,,,,
2010,12,,,PT BPR Durian Mandiri Sawahlunto,Kota Sawahlunto,Provinsi Sumatera Barat,601161,7991914.0,932381.0,2164651.0,223120.0,4575458.0,85849.0,7895610.0,0.0,0.0,0.0,196116.0,1678956.0,0.0,1168352.0,1318662.0,1094529.0,224133.0,,,,,,,,
2010,12,,,PT BPR Mandiri Berkarya Sentosa,Kab. Tangerang,Provinsi Banten,601789,6806697.0,597901.0,950379.0,57000.0,4330889.0,65244.0,5936169.0,0.0,0.0,0.0,57421.0,1900062.0,0.0,1305903.0,1560306.0,1499263.0,57421.0,,,,,,,,
2010,12,,,PT. BPR Cahaya Nagari,Kota Sawahlunto,Provinsi Sumatera Barat,601160,8267327.0,16723.0,596950.0,101993.0,7590968.0,336658.0,8306634.0,0.0,0.0,0.0,-631388.0,90153.0,0.0,1340201.0,1681521.0,2314196.0,-631388.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Muara Sumber Dana,Kab. Tangerang,Provinsi Banten,601899,3652798.0,0.0,2318739.0,5411.0,686208.0,86154.0,3010358.0,0.0,0.0,0.0,-236637.0,9266263.0,0.0,209332.0,225692.0,462329.0,-236637.0,,,,,,,,
2010,12,,,PT BPR Stigma Andalas,Kota Padang,Provinsi Sumatera Barat,602592,3543654.0,590433.0,946883.0,50308.0,1752701.0,106577.0,3340325.0,0.0,0.0,0.0,18878.0,3037262.0,0.0,669983.0,907716.0,881656.0,25171.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Prima Kredit Mandiri,Kab. Tangerang,Provinsi Banten,601902,33957656.0,257724.0,5160738.0,270000.0,26489688.0,321174.0,32178150.0,0.0,0.0,0.0,2335625.0,18147378.0,0.0,7853958.0,9500019.0,6587810.0,2904123.0,,,,,,,,
2010,12,,,PT BPR Talawi Sakato Sejahtera,Kota Sawahlunto,Provinsi Sumatera Barat,601163,6897779.0,117474.0,1775511.0,127638.0,4500220.0,162954.0,6520843.0,0.0,0.0,0.0,137701.0,1637701.0,0.0,1292269.0,1451751.0,1281226.0,160117.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Olympindo Sejahtera,Wil. Kota Jakarta Utara,Provinsi DKI Jakarta,600816,30368955.0,1700000.0,4745849.0,131598.0,22060941.0,255684.0,28638388.0,0.0,0.0,0.0,840758.0,36140206.0,0.0,5243011.0,6001238.0,5076420.0,1007466.0,,,,,,,,
2010,12,,,PT. BPR Trisurya Bumindo,Kota Bandar Lampung,Provinsi Lampung,600772,144663476.0,302443.0,10504363.0,258214.0,144305726.0,14033160.0,155370746.0,0.0,0.0,0.0,-3805218.0,-11494443.0,0.0,25568598.0,26114201.0,29644212.0,-3540910.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Mitra Parahyangan,Kota Bandung,Provinsi Jawa Barat,601350,5967271.0,14165.0,4616347.0,0.0,3056564.0,1912844.0,7687076.0,0.0,0.0,0.0,1098183.0,3698217.0,0.0,1861525.0,2796100.0,1538005.0,1255066.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Kredit Mandiri Celebes Sejahtera,Kota Manado,Provinsi Sulawesi Utara,602660,4732467.0,400000.0,2282319.0,0.0,1612293.0,21473.0,4294612.0,0.0,0.0,0.0,-83552.0,6916448.0,0.0,80212.0,94308.0,177023.0,-83552.0,,,,,,,,
2010,12,,,PT. BPR Kredit Mandiri Jabar,Kab. Bandung,Provinsi Jawa Barat,600179,1738499.0,2876.0,209806.0,104225.0,982796.0,94551.0,1299703.0,0.0,0.0,0.0,-224959.0,3084419.0,0.0,321806.0,376459.0,597865.0,-224959.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Panjawan Mitra Usaha,Kab. Bandung,Provinsi Jawa Barat,600307,3967954.0,2663.0,401107.0,11667.0,2803534.0,63086.0,3218971.0,0.0,0.0,0.0,-458067.0,3212862.0,0.0,781692.0,950709.0,1439739.0,-458067.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Dana Raya,Kota Manado,Provinsi Sulawesi Utara,602639,42134551.0,0.0,11484653.0,168306.0,29044478.0,152503.0,40697437.0,0.0,0.0,0.0,1039203.0,6039203.0,0.0,3326857.0,4822719.0,3499655.0,1191225.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Muria Harta Nusantara,Kab. Bandung,Provinsi Jawa Barat,600402,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Celebes Mitra Perdana,Kota Manado,Provinsi Sulawesi Utara,602573,17759035.0,350000.0,2412085.0,128000.0,14367287.0,478804.0,17257372.0,0.0,0.0,0.0,381428.0,5960258.0,0.0,3672338.0,4007043.0,3621031.0,381428.0,,,,,,,,
2010,12,,,PT BPR Modern Express Sulut,Kota Manado,Provinsi Sulawesi Utara,601942,10241356.0,0.0,2273859.0,175000.0,7510080.0,276635.0,9958939.0,0.0,0.0,0.0,937123.0,7033219.0,0.0,2664032.0,2841637.0,1776184.0,1072404.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Hayura Artalola,Kab. Bandung,Provinsi Jawa Barat,600406,10290590.0,258324.0,1080517.0,51817.0,7615714.0,102567.0,9006372.0,0.0,0.0,0.0,396322.0,3596322.0,0.0,2878970.0,3235146.0,2792576.0,452939.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Kertamulia,Kab. Bandung,Provinsi Jawa Barat,601333,178609531.0,222411.0,94884142.0,398380.0,80027266.0,3565837.0,175532199.0,0.0,0.0,0.0,4590723.0,16589040.0,0.0,33386993.0,40917913.0,34296859.0,6376004.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Juara Dana Abadi,Kota Manado,Provinsi Sulawesi Utara,601928,1491935.0,55000.0,335439.0,8416.0,1099810.0,157592.0,1498665.0,0.0,0.0,0.0,145472.0,3845227.0,0.0,509057.0,570751.0,401454.0,169154.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Prisma Dana,Kota Manado,Provinsi Sulawesi Utara,601924,147016303.0,796401.0,29377216.0,9311012.0,96705047.0,2438829.0,136189676.0,0.0,0.0,0.0,4490842.0,25506842.0,0.0,34765173.0,35521696.0,29221485.0,6109074.0,,,,,,,,
2010,12,,,PT. BPR Pangandaran,Kab. Bandung,Provinsi Jawa Barat,601336,8516444.0,0.0,962709.0,0.0,7003031.0,113100.0,7965740.0,0.0,0.0,0.0,443750.0,1443750.0,0.0,2539703.0,3352833.0,2816908.0,530360.0,,,,,,,,
2010,12,,,PT Bank Perekonomian Rakyat Sarikusuma Surya,Kab. Bandung,Provinsi Jawa Barat,601354,20704948.0,462005.0,1998046.0,185103.0,16903478.0,307574.0,19548632.0,0.0,0.0,0.0,394386.0,4063085.0,0.0,4555353.0,5176599.0,4718011.0,458588.0,,,,,,,,
